id,purchase_url,status
"3328","https://www.flipkart.com/triva-nutri-blender-500-w-juicer-mixer-grinder/p/itm27643dfb5141a?pid=MIXGZGP3FFFWDZCY&cmpid=product.share.pp&_refId=PP.42032f94-1de5-4f3c-9ba2-f3c38fadad72.MIXGZGP3FFFWDZCY&_appId=WA","500"
"3379","https://www.flipkart.com/mast-harbour-full-sleeve-printed-men-sweatshirt/p/itm1c1d33047753a?pid=SWSGTSBPYJAEKZNZ&cmpid=product.share.pp&_refId=PP.daacf20b-6615-44ec-a15d-d87179826f91.SWSGTSBPYJAEKZNZ&_appId=WA","400"
"3434","https://www.flipkart.com/rv/orderDetails?grocery=false&hyperlocal=false&item_id=433129616687997107&link=MyOrders&order_id=OD433129616687997100&unit_id=433129616687997107000","400"
"3464","https://www.flipkart.com/yeshu-enterprise-floral-pri","404"
"3498","https://www.flipkart.com/breil-fort-collins-full-sleeve-solid-women-jacket/p/itmd0f0e1a0ded66?pid=JCKGSD6RMYKER2GH&cmpid=product.share.pp&_refId=PP.a32c1da6-c7ca-4e84-9991-fdb2a0cd0094.JCKGSD6RMYKER2GH&_appId=CL","500"
"3687","https://www.flipkart.com/color-hunt-self-design-men-crew-neck-maroon-t-shirt/p/itmbb9fc5bbe8d2a?pid=TSHH62J8ZDBZDEQR&cmpid=product.share.pp&_refId=PP.dc90b9bf-d2b3-4180-9e96-d2603c1e2792.TSHH62J8ZDBZDEQR&_appId=CL","500"
"3725","https://www.flipkart.com/roadster-women-dark-blue-jeans/p/itm80a2885c3c54a?pid=JEAGZ9CHBKHKMNRH&cmpid=product.share.pp&_refId=PP.b0a2cfef-fe7b-4263-a7bc-c37bd0e7f55f.JEAGZ9CHBKHKMNRH&_appId=CL","500"
"3841","https://www.flipkart.com/msv-printed-men-round-neck-multicolor-t-shirt/p/itme7defb5c4c90e?pid=TSHH2MFN9ZSZ64HT&cmpid=product.share.pp&_refId=PP.86a379a9-3f9e-4a1b-b7d4-a40c46a0e686.TSHH2MFN9ZSZ64HT&_appId=CL","500"
"3998","https://www.flipkart.com/pro-homes-raaga-professional-de-tan-pack-tan-removal-cream-12g-x-6-72-gm/p/itmfef34a790103b?pid=FCPH49Y8W4Y6VYV9&cmpid=product.share.pp&_refId=PP.9b7f6c22-b874-4653-bfc8-545a05c86822.FCPH49Y8W4Y6VYV9&_appId=CL","500"
"4115","https://www.flipkart.com/breil-fort-collins-full-sleeve-solid-men-jacket/p/itm5d23842783315?pid=JCKG62YHDB9UG26A&cmpid=product.share.pp&_refId=PP.1494b318-38b3-4ed4-a4e2-50147c3f73cb.JCKG62YHDB9UG26A&_appId=CL","500"
